rouge1,rouge2,rougeL,rougeLsum
"Score(precision=0.4840592466146507, recall=0.41445336953770445, fmeasure=0.42755097591026514)","Score(precision=0.19452285117518248, recall=0.1649441983910801, fmeasure=0.16987557466966038)","Score(precision=0.28622126245601753, recall=0.24400126382743859, fmeasure=0.25110519116562857)","Score(precision=0.3903313204916177, recall=0.331004104367438, fmeasure=0.3428870081252413)"
"Score(precision=0.4957866205653093, recall=0.4244709053099771, fmeasure=0.43500497839801217)","Score(precision=0.20397039711359988, recall=0.17250128253994512, fmeasure=0.17747870433200247)","Score(precision=0.2953236954675069, recall=0.2511600962392805, fmeasure=0.25770487513728757)","Score(precision=0.4012795835195244, recall=0.3393132385611003, fmeasure=0.3495437753206415)"
"Score(precision=0.5068092965216655, recall=0.43410741293246946, fmeasure=0.44295978802047187)","Score(precision=0.21265811642398041, recall=0.1806913817623497, fmeasure=0.1847762709577447)","Score(precision=0.30492018942137467, recall=0.2589217623800856, fmeasure=0.26472406015752314)","Score(precision=0.412171126307321, recall=0.3484778575217528, fmeasure=0.3565750275510754)"
