rouge1,rouge2,rougeL,rougeLsum
"Score(precision=0.4873281494544423, recall=0.4113490930602957, fmeasure=0.4267495602922005)","Score(precision=0.19582051612065798, recall=0.1648265504007377, fmeasure=0.17070989084092603)","Score(precision=0.28745592035364703, recall=0.2421857203816714, fmeasure=0.2508493333665912)","Score(precision=0.3911334756113413, recall=0.3277837208041027, fmeasure=0.3407923536642051)"
"Score(precision=0.49859570257100266, recall=0.42201816535060965, fmeasure=0.4347268349703288)","Score(precision=0.20502597742569517, recall=0.17176525650679875, fmeasure=0.17778914420409114)","Score(precision=0.296397341189187, recall=0.2493251225950202, fmeasure=0.2570799210848107)","Score(precision=0.4008221348119273, recall=0.33611463260636876, fmeasure=0.34754977801211484)"
"Score(precision=0.5102508392668257, recall=0.43190369278731305, fmeasure=0.442121465926975)","Score(precision=0.21353564530821972, recall=0.17971640538358472, fmeasure=0.18528256048908906)","Score(precision=0.30613768429816707, recall=0.2574914245488286, fmeasure=0.26429612752901793)","Score(precision=0.41109779762091564, recall=0.34460613252827454, fmeasure=0.3546793836147385)"
