rouge1,rouge2,rougeL,rougeLsum
"Score(precision=0.4155561601159666, recall=0.2464557120681959, fmeasure=0.259748303622458)","Score(precision=0.15408915547689722, recall=0.07774472739375607, fmeasure=0.08711404394252875)","Score(precision=0.30058891718690395, recall=0.17794970478358677, fmeasure=0.18542096202321512)","Score(precision=0.33257105679142307, recall=0.19596303482225444, fmeasure=0.2064099162654121)"
"Score(precision=0.43282054081647914, recall=0.25698419646013604, fmeasure=0.26924757077152933)","Score(precision=0.1692265465571163, recall=0.08437900759567823, fmeasure=0.09447416129984462)","Score(precision=0.3142646715041102, recall=0.1861693188961679, fmeasure=0.19223789727991514)","Score(precision=0.34865277864366667, recall=0.20558116017905115, fmeasure=0.2145525560850119)"
"Score(precision=0.4528740432121852, recall=0.2682018104034489, fmeasure=0.27850723614010275)","Score(precision=0.18457945410064797, recall=0.09137382104362396, fmeasure=0.10202597788998133)","Score(precision=0.3301236585270586, recall=0.19489773777514277, fmeasure=0.19940783552823826)","Score(precision=0.36449246615253805, recall=0.21477645167852802, fmeasure=0.22219939372120137)"
