rouge1,rouge2,rougeL,rougeLsum
"Score(precision=0.4277380021381178, recall=0.2389836953395187, fmeasure=0.2558329960374694)","Score(precision=0.1617000142821211, recall=0.07591575834512798, fmeasure=0.08662364710957823)","Score(precision=0.310317923010869, recall=0.17214591515197164, fmeasure=0.18283354081300748)","Score(precision=0.3411756687065938, recall=0.18965956366248504, fmeasure=0.20219605476266475)"
"Score(precision=0.4444579801880509, recall=0.2494998088250239, fmeasure=0.2647726749384677)","Score(precision=0.17690216611766973, recall=0.08225936659537948, fmeasure=0.09383430079730506)","Score(precision=0.3248182539665678, recall=0.18075452002586784, fmeasure=0.18949719271714235)","Score(precision=0.3583551927930928, recall=0.19871606811791814, fmeasure=0.21038793988626395)"
"Score(precision=0.46378850031750746, recall=0.2604682381987144, fmeasure=0.2740940998778731)","Score(precision=0.19268243729350595, recall=0.08931878082558033, fmeasure=0.10162302084914751)","Score(precision=0.33992601050632665, recall=0.1894075514242038, fmeasure=0.19645540584695023)","Score(precision=0.373755507522996, recall=0.20831713858457146, fmeasure=0.2179957471752272)"
