rouge1,rouge2,rougeL,rougeLsum
"Score(precision=0.20444490165631163, recall=0.17837233777919398, fmeasure=0.16291756313144126)","Score(precision=0.02259928063968443, recall=0.018600282177596402, fmeasure=0.01732059273211551)","Score(precision=0.15576462036004032, recall=0.14089291499371312, fmeasure=0.12609203602982816)","Score(precision=0.17488667949178546, recall=0.15329583192470353, fmeasure=0.1393791775118386)"
"Score(precision=0.21485107606017206, recall=0.18485116527934514, fmeasure=0.16865087794888806)","Score(precision=0.025015849374520435, recall=0.020431011566173746, fmeasure=0.01884723414790651)","Score(precision=0.16333875993203428, recall=0.14623927735769274, fmeasure=0.1298718581905221)","Score(precision=0.1822000936378451, recall=0.15967931397879956, fmeasure=0.14388111346691337)"
"Score(precision=0.22540474138190245, recall=0.19148488239127137, fmeasure=0.17429895289292607)","Score(precision=0.027880115972164977, recall=0.022338202333788026, fmeasure=0.020470986881640226)","Score(precision=0.17093720566645693, recall=0.15230211162324836, fmeasure=0.13387778627609404)","Score(precision=0.19127505270624462, recall=0.16565974856169674, fmeasure=0.14885947208639913)"
