rouge1,rouge2,rougeL,rougeLsum
"Score(precision=0.19358401223508673, recall=0.1637358247547922, fmeasure=0.14659759828823976)","Score(precision=0.01993041704405919, recall=0.015102793823906743, fmeasure=0.014237118326248733)","Score(precision=0.1524727168604346, recall=0.12910489560908717, fmeasure=0.11415284055111366)","Score(precision=0.16893009702195522, recall=0.14365085657870852, fmeasure=0.12706230905979907)"
"Score(precision=0.2215944078386553, recall=0.18116945112520072, fmeasure=0.1606089260734368)","Score(precision=0.027535967007829537, recall=0.018797558800413845, fmeasure=0.017330975339198695)","Score(precision=0.17038074858919028, recall=0.14420899032016238, fmeasure=0.12454701494818621)","Score(precision=0.19343571442613516, recall=0.15823398021005902, fmeasure=0.13918097243899352)"
"Score(precision=0.25085208810960036, recall=0.19983779439288984, fmeasure=0.1741686051795053)","Score(precision=0.037881973105541346, recall=0.022666397173800142, fmeasure=0.020913443751381874)","Score(precision=0.19086367927775097, recall=0.1590382977557767, fmeasure=0.1336304316790825)","Score(precision=0.2204985095226375, recall=0.17484953467831701, fmeasure=0.15074537416152517)"
