rouge1,rouge2,rougeL,rougeLsum
"Score(precision=0.3185359666317072, recall=0.21893487061965297, fmeasure=0.2154011128410853)","Score(precision=0.04629093121398797, recall=0.0313782672333046, fmeasure=0.030569654093433526)","Score(precision=0.20127234154958543, recall=0.13130477776918933, fmeasure=0.1287507596306094)","Score(precision=0.23075001190022792, recall=0.15150925827277828, fmeasure=0.14941058126607476)"
"Score(precision=0.32956025572998643, recall=0.22955598700018334, fmeasure=0.22225255833192922)","Score(precision=0.049917518457266184, recall=0.03354247538842701, fmeasure=0.032489688818943666)","Score(precision=0.2094276429683833, recall=0.13727611960656547, fmeasure=0.13209476299711378)","Score(precision=0.2392176502345068, recall=0.15827537972603156, fmeasure=0.15388200686472447)"
"Score(precision=0.34139150966231124, recall=0.23977961215757068, fmeasure=0.22961742486889686)","Score(precision=0.053500965078625194, recall=0.035833966314679264, fmeasure=0.03423070716564933)","Score(precision=0.21760591494669726, recall=0.14341078608156585, fmeasure=0.13541939842449904)","Score(precision=0.24844394804570716, recall=0.16527615895112097, fmeasure=0.15891972529078754)"
