precision,recall,f1,hashcode
0.874914944,0.866076589,0.870473325,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.874958098,0.866988719,0.870955169,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.867536545,0.872603595,0.870062709,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.881638527,0.874886215,0.878249347,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.876276851,0.861275733,0.868711472,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.868239164,0.859724224,0.863960683,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.936563194,0.934213579,0.935386896,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.874529004,0.866785288,0.87063992,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.884552956,0.876796186,0.880657434,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.881858647,0.867612839,0.874677777,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.87601769,0.858260751,0.867048323,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.890091181,0.880690813,0.885366082,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.901264071,0.896509707,0.898880541,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.868439436,0.860007823,0.864203155,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.830349147,0.867370069,0.848455906,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.878328502,0.888631165,0.883449793,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.878716886,0.865746319,0.872183323,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.873251796,0.873090267,0.873171031,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.870818675,0.875827968,0.873316109,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.884590268,0.873349905,0.878934145,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.874855459,0.874735236,0.874795377,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.880458653,0.875253439,0.877848327,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.876462102,0.876322627,0.876392305,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.839301288,0.855094492,0.847124279,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.85788238,0.862036943,0.859954655,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.884192109,0.896247685,0.890179038,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.904995501,0.912651181,0.908807158,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.932745159,0.931017458,0.931880474,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.952238619,0.947782218,0.950005174,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.925140262,0.929079175,0.927105546,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.947500587,0.939894378,0.943682194,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.894679904,0.86765945,0.880962551,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.884504795,0.857663333,0.870877266,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.853552818,0.860271335,0.856898904,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
