rouge1,rouge2,rougeL,rougeLsum
"Score(precision=0.4834207931526204, recall=0.41356127325755276, fmeasure=0.4308306715809471)","Score(precision=0.21002129981838288, recall=0.17660502157690375, fmeasure=0.18480301463240342)","Score(precision=0.29148981301331317, recall=0.24983942141765147, fmeasure=0.25929603230722736)","Score(precision=0.39897146446400555, recall=0.33917731007605384, fmeasure=0.3547709529054434)"
"Score(precision=0.4953241257838837, recall=0.4232126831138959, fmeasure=0.4394507171948199)","Score(precision=0.22249079156481782, recall=0.1859578633915816, fmeasure=0.19559224238393239)","Score(precision=0.3025023645323454, recall=0.25921223433806906, fmeasure=0.2682313729210047)","Score(precision=0.4110048035111893, recall=0.34806332295401976, fmeasure=0.36288573581934047)"
"Score(precision=0.5072859062461289, recall=0.4332527001922478, fmeasure=0.4484664062609767)","Score(precision=0.2344470690892059, recall=0.19561995423458717, fmeasure=0.20563241047699812)","Score(precision=0.31474569213366627, recall=0.2694360584529347, fmeasure=0.2785778607854328)","Score(precision=0.42275314967626415, recall=0.3573174414800426, fmeasure=0.3718456386874294)"
