rouge1,rouge2,rougeL,rougeLsum
"Score(precision=0.48091867017830775, recall=0.4153452909065593, fmeasure=0.4310948321918134)","Score(precision=0.21018790889567388, recall=0.17720563334898753, fmeasure=0.18556824596252713)","Score(precision=0.29051384828700955, recall=0.2513335524684415, fmeasure=0.25960038382214157)","Score(precision=0.3984318488252405, recall=0.3409220559931469, fmeasure=0.3548166966939132)"
"Score(precision=0.49319631672664893, recall=0.4255685748163721, fmeasure=0.4394162300682529)","Score(precision=0.2223719631178861, recall=0.18765767420635435, fmeasure=0.1960723205695311)","Score(precision=0.3024026649316822, recall=0.2609551559378954, fmeasure=0.2690653648843875)","Score(precision=0.4103129723426171, recall=0.3505305289669223, fmeasure=0.3635710531941956)"
"Score(precision=0.5057506731336499, recall=0.4362283149926427, fmeasure=0.44831655155042255)","Score(precision=0.23522908933310754, recall=0.19864525716680242, fmeasure=0.20673729765296278)","Score(precision=0.3140117691363491, recall=0.27036414799233854, fmeasure=0.27826185522793334)","Score(precision=0.42250450626688674, recall=0.359851383495857, fmeasure=0.3729453094027747)"
