rouge1,rouge2,rougeL,rougeLsum
"Score(precision=0.48139101180465305, recall=0.4157627808510519, fmeasure=0.4309127952072421)","Score(precision=0.20987361535093646, recall=0.17786649295188098, fmeasure=0.18568567920273582)","Score(precision=0.2907874492437554, recall=0.2521369534447105, fmeasure=0.26007075686251796)","Score(precision=0.3982697229597741, recall=0.3410776361485412, fmeasure=0.3549776530695985)"
"Score(precision=0.4935919014621521, recall=0.4252044972392585, fmeasure=0.4393282445692349)","Score(precision=0.22254520925346813, recall=0.18755142398753, fmeasure=0.19624201515540277)","Score(precision=0.30221687891811505, recall=0.26116305795323225, fmeasure=0.26910335581707157)","Score(precision=0.41023027324977457, recall=0.3499670695830801, fmeasure=0.3635838052675347)"
"Score(precision=0.5058075675015697, recall=0.43543159282861016, fmeasure=0.4485466482277672)","Score(precision=0.23453149699130574, recall=0.19744781680566578, fmeasure=0.20629522671181258)","Score(precision=0.31407499548691803, recall=0.2707979901427105, fmeasure=0.27895850951800205)","Score(precision=0.42266783679888753, recall=0.359458538346849, fmeasure=0.37254579148351036)"
