rouge1,rouge2,rougeL,rougeLsum
"Score(precision=0.4671593799799484, recall=0.34498184064551707, fmeasure=0.37000245781809427)","Score(precision=0.1876449160464137, recall=0.1313103116103391, fmeasure=0.14436840921449562)","Score(precision=0.3220631477182361, recall=0.23569276229261799, fmeasure=0.2527841065245548)","Score(precision=0.322131393240711, recall=0.23609133338353985, fmeasure=0.25268153201245963)"
"Score(precision=0.4813958282901167, recall=0.3545912878687675, fmeasure=0.3788849899313982)","Score(precision=0.1988002962906794, recall=0.13935937115932095, fmeasure=0.15215286203195066)","Score(precision=0.3347985595258518, recall=0.24393405910508154, fmeasure=0.26094235714342773)","Score(precision=0.33412110624761304, recall=0.24372629720479919, fmeasure=0.26051221388498025)"
"Score(precision=0.49499818082358316, recall=0.3661881217449659, fmeasure=0.3879449362065892)","Score(precision=0.21139358726824498, recall=0.1475418708565638, fmeasure=0.16034324438189496)","Score(precision=0.3467891711281367, recall=0.25227458824036203, fmeasure=0.2686329968185508)","Score(precision=0.3461659847459773, recall=0.2524273975159275, fmeasure=0.26814540604064846)"
