rouge1,rouge2,rougeL,rougeLsum
"Score(precision=0.4596345276746375, recall=0.3499031022922055, fmeasure=0.3700614673698304)","Score(precision=0.18293471250725782, recall=0.13252254809068212, fmeasure=0.14349380277176516)","Score(precision=0.31700988390326623, recall=0.23931230198713047, fmeasure=0.2530513955946967)","Score(precision=0.316472037913171, recall=0.23956030057638933, fmeasure=0.2529875010884619)"
"Score(precision=0.47349724178466546, recall=0.35984599057935895, fmeasure=0.3788931572166406)","Score(precision=0.1938963347180428, recall=0.14037747365100608, fmeasure=0.15116621010300396)","Score(precision=0.32889683416655696, recall=0.24809791199704903, fmeasure=0.2612976271254197)","Score(precision=0.32837058980022127, recall=0.2476723072491618, fmeasure=0.26087905422161495)"
"Score(precision=0.48736659125238135, recall=0.371000268354786, fmeasure=0.38826129862005987)","Score(precision=0.206555991733742, recall=0.14904682416850012, fmeasure=0.15988578139632798)","Score(precision=0.3408040864092267, recall=0.25648903693485053, fmeasure=0.26920810952766905)","Score(precision=0.3398326752535806, recall=0.25669412081930904, fmeasure=0.2688997091031531)"
